CASE ID,2nd_3rd line,TEST_2nd_3rd line,Events from start,Events from end
10,0.9968411,1,10,42
10,0.9970124,1,11,41
10,0.99705374,1,12,40
10,0.9970311,1,13,39
10,0.9970851,1,14,38
10,0.9970584,1,15,37
10,0.997084,1,16,36
10,0.99702823,1,17,35
10,0.99701047,1,18,34
10,0.9968323,1,19,33
10,0.99671805,1,20,32
10,0.99670565,1,21,31
10,0.99658525,1,22,30
10,0.9961788,1,23,29
10,0.99541473,1,24,28
10,0.9944123,1,25,27
10,0.99395764,1,26,26
10,0.9927565,1,27,25
10,0.9915931,1,28,24
10,0.99043167,1,29,23
10,0.9551486,1,30,22
10,0.994223,1,31,21
10,0.9924683,1,32,20
10,0.99294007,1,33,19
10,0.99314994,1,34,18
10,0.99280703,1,35,17
10,0.99296653,1,36,16
10,0.9934677,1,37,15
10,0.99441636,1,38,14
10,0.99489605,1,39,13
10,0.99518526,1,40,12
10,0.99523455,1,41,11
10,0.99526334,1,42,10
10,0.9953871,1,43,9
10,0.99530435,1,44,8
10,0.9952325,1,45,7
10,0.99545205,1,46,6
10,0.9956006,1,47,5
10,0.9955432,1,48,4
10,0.9953669,1,49,3
10,0.99526083,1,50,2
10,0.99536884,1,51,1
11,0.8472695,1,1,30
11,0.98386955,1,2,29
11,0.9926177,1,3,28
11,0.9950479,1,4,27
11,0.9958596,1,5,26
11,0.99619675,1,6,25
11,0.9963934,1,7,24
11,0.9965731,1,8,23
11,0.9966588,1,9,22
11,0.996807,1,10,21
11,0.9967314,1,11,20
11,0.99681777,1,12,19
11,0.9969696,1,13,18
11,0.99699473,1,14,17
11,0.99706256,1,15,16
11,0.9970498,1,16,15
11,0.99694246,1,17,14
11,0.9968859,1,18,13
11,0.9967638,1,19,12
11,0.99668664,1,20,11
11,0.9966661,1,21,10
11,0.99647254,1,22,9
11,0.9959825,1,23,8
11,0.99521834,1,24,7
11,0.99413145,1,25,6
11,0.9928678,1,26,5
11,0.992471,1,27,4
11,0.9917207,1,28,3
11,0.9914914,1,29,2
11,0.991173,1,30,1
14,0.7671915,1,1,20
14,0.9775566,1,2,19
14,0.9929199,1,3,18
14,0.994614,1,4,17
14,0.9956387,1,5,16
14,0.9958724,1,6,15
14,0.99615735,1,7,14
14,0.9963243,1,8,13
14,0.9964157,1,9,12
14,0.9965441,1,10,11
14,0.9965377,1,11,10
14,0.996596,1,12,9
14,0.99669325,1,13,8
14,0.9968407,1,14,7
14,0.9968527,1,15,6
14,0.99692297,1,16,5
14,0.9969231,1,17,4
14,0.9966724,1,18,3
14,0.9965659,1,19,2
14,0.9964174,1,20,1
18,0.8224027,1,1,13
18,0.9784658,1,2,12
18,0.99304146,1,3,11
18,0.99501234,1,4,10
18,0.9957251,1,5,9
18,0.99619055,1,6,8
18,0.9963386,1,7,7
18,0.9965617,1,8,6
18,0.99671334,1,9,5
18,0.9969374,1,10,4
18,0.9969369,1,11,3
18,0.99685216,1,12,2
18,0.9968899,1,13,1
20,0.86450016,1,1,22
20,0.9814035,1,2,21
20,0.9927515,1,3,20
20,0.9952147,1,4,19
20,0.9958861,1,5,18
20,0.99631584,1,6,17
20,0.99646616,1,7,16
20,0.99669504,1,8,15
20,0.99689436,1,9,14
20,0.99683964,1,10,13
20,0.99701667,1,11,12
20,0.9970431,1,12,11
20,0.99705493,1,13,10
20,0.9970771,1,14,9
20,0.9968985,1,15,8
20,0.99696875,1,16,7
20,0.9969181,1,17,6
20,0.9969015,1,18,5
20,0.9966609,1,19,4
20,0.996485,1,20,3
20,0.99645054,1,21,2
20,0.99627817,1,22,1
21,0.6482636,1,1,5
21,0.9246998,0,2,4
21,0.6727096,0,3,3
21,0.253618,0,4,2
21,0.20759305,0,5,1
26,0.95286167,1,1,25
26,0.9905693,1,2,24
26,0.9931306,1,3,23
26,0.99339354,1,4,22
26,0.9930942,1,5,21
26,0.99323565,1,6,20
26,0.9947059,1,7,19
26,0.99465555,1,8,18
26,0.99406767,1,9,17
26,0.9948062,1,10,16
26,0.99509525,1,11,15
26,0.9952158,1,12,14
26,0.9937297,1,13,13
26,0.9947845,1,14,12
26,0.9953002,1,15,11
26,0.9953395,1,16,10
26,0.99535006,1,17,9
26,0.995178,1,18,8
26,0.9946856,1,19,7
26,0.99330366,1,20,6
26,0.99446666,1,21,5
26,0.99447674,1,22,4
26,0.98899555,1,23,3
26,0.9442744,1,24,2
26,0.9919143,1,25,1
29,0.6098008,1,1,18
29,0.8949374,1,2,17
29,0.9921005,1,3,16
29,0.9935627,1,4,15
29,0.99587953,1,5,14
29,0.9961464,1,6,13
29,0.99641883,1,7,12
29,0.9964602,1,8,11
29,0.9966349,1,9,10
29,0.9968218,1,10,9
29,0.9968495,1,11,8
29,0.9968648,1,12,7
29,0.99687725,1,13,6
29,0.99695826,1,14,5
29,0.99688786,1,15,4
29,0.99689686,1,16,3
29,0.9968532,1,17,2
29,0.9967747,1,18,1
35,0.34900147,0,1,10
35,0.2788369,0,2,9
35,0.2368165,0,3,8
35,0.22139746,0,4,7
35,0.2013956,0,5,6
35,0.18269205,0,6,5
35,0.16386586,0,7,4
35,0.15086222,0,8,3
35,0.09951186,0,9,2
35,0.05658546,0,10,1
36,0.75727427,1,1,12
36,0.97378206,1,2,11
36,0.9922079,1,3,10
36,0.9945362,1,4,9
36,0.9954385,1,5,8
36,0.9956729,1,6,7
36,0.996117,1,7,6
36,0.99643147,1,8,5
36,0.9964448,1,9,4
36,0.9965548,1,10,3
36,0.996702,1,11,2
36,0.99681425,1,12,1
37,0.6000839,1,1,14
37,0.58778787,1,2,13
37,0.7185845,1,3,12
37,0.39812204,0,4,11
37,0.2741421,0,5,10
37,0.22765744,0,6,9
37,0.1916894,0,7,8
37,0.17512208,0,8,7
37,0.15699655,0,9,6
37,0.1522963,0,10,5
37,0.14517254,0,11,4
37,0.095051914,0,12,3
37,0.078450084,0,13,2
37,0.04775384,0,14,1
39,0.85267514,1,1,10
39,0.9841419,1,2,9
39,0.9917971,1,3,8
39,0.9947775,1,4,7
39,0.99498427,1,5,6
39,0.9949434,1,6,5
39,0.9954955,1,7,4
39,0.9954958,1,8,3
39,0.9955051,1,9,2
39,0.995399,1,10,1
41,0.87179315,1,1,14
41,0.9818098,1,2,13
41,0.9927956,1,3,12
41,0.99520206,1,4,11
41,0.995794,1,5,10
41,0.9960435,1,6,9
41,0.99631655,1,7,8
41,0.99650776,1,8,7
41,0.9966463,1,9,6
41,0.9968569,1,10,5
41,0.9968692,1,11,4
41,0.9969194,1,12,3
41,0.9969834,1,13,2
41,0.9969567,1,14,1
42,0.9090252,1,1,5
42,0.9813375,1,2,4
42,0.97501063,1,3,3
42,0.8426398,1,4,2
42,0.5957851,1,5,1
43,0.28810975,1,1,26
43,0.2519017,1,2,25
43,0.21851552,1,3,24
43,0.16081,1,4,23
43,0.14009589,1,5,22
43,0.10497087,1,6,21
43,0.07761985,1,7,20
43,0.060337245,1,8,19
43,0.85045636,1,9,18
43,0.35744146,1,10,17
43,0.781703,1,11,16
43,0.2582813,1,12,15
43,0.26593077,0,13,14
43,0.19728658,0,14,13
43,0.17772695,0,15,12
43,0.15019429,0,16,11
43,0.12896788,0,17,10
43,0.07828915,0,18,9
43,0.057730794,0,19,8
43,0.04396671,0,20,7
43,0.0409458,0,21,6
43,0.038987994,0,22,5
43,0.03897679,0,23,4
43,0.037726134,0,24,3
43,0.027958453,0,25,2
43,0.026660591,0,26,1
45,0.62330896,1,1,13
45,0.93453896,1,2,12
45,0.99170196,1,3,11
45,0.9937973,1,4,10
45,0.995598,1,5,9
45,0.996078,1,6,8
45,0.9962579,1,7,7
45,0.996456,1,8,6
45,0.9965254,1,9,5
45,0.9966232,1,10,4
45,0.9966486,1,11,3
45,0.9967946,1,12,2
45,0.99681765,1,13,1
47,0.6132055,1,1,6
47,0.9456547,1,2,5
47,0.98499656,1,3,4
47,0.984741,1,4,3
47,0.9724611,1,5,2
47,0.98727226,1,6,1
48,0.8522138,1,1,23
48,0.98429614,1,2,22
48,0.99264276,1,3,21
48,0.9950453,1,4,20
48,0.99574614,1,5,19
48,0.99615383,1,6,18
48,0.9963232,1,7,17
48,0.99652296,1,8,16
48,0.99662584,1,9,15
48,0.99677724,1,10,14
48,0.9968202,1,11,13
48,0.996892,1,12,12
48,0.9969107,1,13,11
48,0.99685633,1,14,10
48,0.9968653,1,15,9
48,0.9968272,1,16,8
48,0.9967508,1,17,7
48,0.99668205,1,18,6
48,0.99657404,1,19,5
48,0.9964534,1,20,4
48,0.99645567,1,21,3
48,0.99637336,1,22,2
48,0.99593556,1,23,1
49,0.41623223,1,1,39
49,0.40467617,1,2,38
49,0.42029566,1,3,37
49,0.5298418,1,4,36
49,0.5880862,1,5,35
49,0.6179957,1,6,34
49,0.36983284,1,7,33
49,0.40952078,1,8,32
49,0.5001629,1,9,31
49,0.79675174,1,10,30
49,0.91464436,1,11,29
49,0.91918516,1,12,28
49,0.52969146,1,13,27
49,0.3694585,1,14,26
49,0.21510601,1,15,25
49,0.22773561,1,16,24
49,0.20629299,1,17,23
49,0.20936924,1,18,22
49,0.20072418,1,19,21
49,0.2221492,1,20,20
49,0.22443226,1,21,19
49,0.26038563,1,22,18
49,0.21722642,1,23,17
49,0.19806862,1,24,16
49,0.19287303,1,25,15
49,0.177248,1,26,14
49,0.16364443,1,27,13
49,0.16912407,1,28,12
49,0.16449621,1,29,11
49,0.15823233,1,30,10
49,0.14075711,1,31,9
49,0.29234952,1,32,8
49,0.27594358,1,33,7
49,0.2386876,0,34,6
49,0.18763328,0,35,5
49,0.1647704,0,36,4
49,0.11467567,0,37,3
49,0.06321195,0,38,2
49,0.04298067,0,39,1
50,0.8673827,1,1,17
50,0.99197364,1,2,16
50,0.9934925,1,3,15
50,0.99540603,1,4,14
50,0.99580896,1,5,13
50,0.99617314,1,6,12
50,0.9963447,1,7,11
50,0.9965041,1,8,10
50,0.9965036,1,9,9
50,0.9964752,1,10,8
50,0.99632597,1,11,7
50,0.9961401,1,12,6
50,0.9954383,1,13,5
50,0.996059,1,14,4
50,0.9953269,1,15,3
50,0.99468076,1,16,2
50,0.9958577,1,17,1
51,0.45321906,0,1,22
51,0.48552078,0,2,21
51,0.4556075,0,3,20
51,0.6006858,0,4,19
51,0.6341864,0,5,18
51,0.97762096,0,6,17
51,0.98023236,0,7,16
51,0.98071146,0,8,15
51,0.99110067,0,9,14
51,0.98920524,0,10,13
51,0.7276405,0,11,12
51,0.4912201,0,12,11
51,0.34075296,0,13,10
51,0.24968803,0,14,9
51,0.20617703,0,15,8
51,0.17870298,0,16,7
51,0.12645295,0,17,6
51,0.078784585,0,18,5
51,0.047994375,0,19,4
51,0.0338355,0,20,3
51,0.027433991,0,21,2
51,0.024773687,0,22,1
52,0.19496068,0,1,8
52,0.14541101,0,2,7
52,0.081706405,0,3,6
52,0.049438715,0,4,5
52,0.03610909,0,5,4
52,0.030891985,0,6,3
52,0.029307276,0,7,2
52,0.027232736,0,8,1
54,0.8445358,1,1,23
54,0.98026204,1,2,22
54,0.99263227,1,3,21
54,0.99522424,1,4,20
54,0.9958037,1,5,19
54,0.99624395,1,6,18
54,0.99639046,1,7,17
54,0.99652374,1,8,16
54,0.99663574,1,9,15
54,0.9966681,1,10,14
54,0.9967582,1,11,13
54,0.9968664,1,12,12
54,0.99682844,1,13,11
54,0.9968531,1,14,10
54,0.99687016,1,15,9
54,0.99684596,1,16,8
54,0.9969103,1,17,7
54,0.99666476,1,18,6
54,0.99667245,1,19,5
54,0.9965973,1,20,4
54,0.99658084,1,21,3
54,0.9964569,1,22,2
54,0.9960345,1,23,1
60,0.898576,1,1,49
60,0.9860482,1,2,48
60,0.99317336,1,3,47
60,0.9951035,1,4,46
60,0.9955839,1,5,45
60,0.9957355,1,6,44
60,0.9961079,1,7,43
60,0.9961176,1,8,42
60,0.9963583,1,9,41
60,0.99658805,1,10,40
60,0.9967545,1,11,39
60,0.9967872,1,12,38
60,0.99675226,1,13,37
60,0.9966314,1,14,36
60,0.9966086,1,15,35
60,0.99662197,1,16,34
60,0.9965104,1,17,33
60,0.99648166,1,18,32
60,0.99631464,1,19,31
60,0.996276,1,20,30
60,0.9963002,1,21,29
60,0.99628544,1,22,28
60,0.99593556,1,23,27
60,0.99560577,1,24,26
60,0.9951771,1,25,25
60,0.99409634,1,26,24
60,0.9931411,1,27,23
60,0.99279904,1,28,22
60,0.9925771,1,29,21
60,0.99233353,1,30,20
60,0.9923552,1,31,19
60,0.9922844,1,32,18
60,0.99185133,1,33,17
60,0.99146724,1,34,16
60,0.99101055,1,35,15
60,0.9908649,1,36,14
60,0.9905864,1,37,13
60,0.99080825,1,38,12
60,0.99062544,1,39,11
60,0.9912824,1,40,10
60,0.9919683,1,41,9
60,0.99343,1,42,8
60,0.9945733,1,43,7
60,0.99474025,1,44,6
60,0.99503773,1,45,5
60,0.99479926,1,46,4
60,0.99512625,1,47,3
60,0.9948766,1,48,2
60,0.995083,1,49,1
66,0.74716294,1,1,15
66,0.92918384,1,2,14
66,0.9918746,1,3,13
66,0.99319786,1,4,12
66,0.99562585,1,5,11
66,0.9951699,1,6,10
66,0.99610084,1,7,9
66,0.9961933,1,8,8
66,0.9965205,1,9,7
66,0.9965881,1,10,6
66,0.9967337,1,11,5
66,0.99679554,1,12,4
66,0.99680245,1,13,3
66,0.9967439,1,14,2
66,0.9967295,1,15,1
68,0.9205612,1,1,27
68,0.98283404,1,2,26
68,0.9931226,1,3,25
68,0.994623,1,4,24
68,0.9951283,1,5,23
68,0.99470735,1,6,22
68,0.99495876,1,7,21
68,0.9951249,1,8,20
68,0.99391806,1,9,19
68,0.9933187,1,10,18
68,0.9943391,1,11,17
68,0.9904061,1,12,16
68,0.884904,1,13,15
68,0.9949264,1,14,14
68,0.9946671,1,15,13
68,0.99464905,1,16,12
68,0.99484664,1,17,11
68,0.99519044,1,18,10
68,0.9954041,1,19,9
68,0.99533457,1,20,8
68,0.99547344,1,21,7
68,0.9957479,1,22,6
68,0.9959971,1,23,5
68,0.99584484,1,24,4
68,0.995871,1,25,3
68,0.99573267,1,26,2
68,0.9953664,1,27,1
82,0.79627675,1,1,7
82,0.9650209,1,2,6
82,0.98960036,1,3,5
82,0.9930086,1,4,4
82,0.99341714,1,5,3
82,0.9950097,1,6,2
82,0.9955321,1,7,1
85,0.5561185,1,1,15
85,0.6819498,1,2,14
85,0.8990195,1,3,13
85,0.9837051,1,4,12
85,0.983527,1,5,11
85,0.9914019,1,6,10
85,0.98077524,1,7,9
85,0.9843874,1,8,8
85,0.95101666,1,9,7
85,0.8724842,0,10,6
85,0.4792476,0,11,5
85,0.38259998,0,12,4
85,0.3100723,0,13,3
85,0.26501524,0,14,2
85,0.18205285,0,15,1
89,0.4763206,1,1,21
89,0.55046755,1,2,20
89,0.38906628,1,3,19
89,0.37758306,1,4,18
89,0.34243625,1,5,17
89,0.2772397,1,6,16
89,0.2142086,1,7,15
89,0.13654813,1,8,14
89,0.08792582,1,9,13
89,0.05632618,1,10,12
89,0.036337167,1,11,11
89,0.039940953,1,12,10
89,0.071388006,1,13,9
89,0.07905868,1,14,8
89,0.11663297,1,15,7
89,0.11018741,1,16,6
89,0.11317119,1,17,5
89,0.09992054,1,18,4
89,0.46331328,1,19,3
89,0.2586456,1,20,2
89,0.29684693,1,21,1
90,0.8743496,1,1,22
90,0.9829335,1,2,21
90,0.9929695,1,3,20
90,0.995324,1,4,19
90,0.99582446,1,5,18
90,0.9962789,1,6,17
90,0.9965093,1,7,16
90,0.9965943,1,8,15
90,0.99668074,1,9,14
90,0.99675155,1,10,13
90,0.99690986,1,11,12
90,0.99691784,1,12,11
90,0.99693155,1,13,10
90,0.9969044,1,14,9
90,0.996856,1,15,8
90,0.9969013,1,16,7
90,0.99686897,1,17,6
90,0.9967814,1,18,5
90,0.99663186,1,19,4
90,0.9965813,1,20,3
90,0.9965012,1,21,2
90,0.9963131,1,22,1
93,0.4389204,1,1,6
93,0.46028316,1,2,5
93,0.99120855,1,3,4
93,0.992235,1,4,3
93,0.9948909,1,5,2
93,0.9952443,1,6,1
98,0.96743083,1,1,6
98,0.9912438,1,2,5
98,0.99410737,1,3,4
98,0.99580044,1,4,3
98,0.99613917,1,5,2
98,0.9962848,1,6,1
107,0.23812544,1,1,21
107,0.19051677,1,2,20
107,0.14091346,1,3,19
107,0.10326472,1,4,18
107,0.066339195,1,5,17
107,0.04829395,1,6,16
107,0.04022965,1,7,15
107,0.06904426,1,8,14
107,0.058621913,1,9,13
107,0.1924051,1,10,12
107,0.13872069,1,11,11
107,0.17081016,1,12,10
107,0.16813144,0,13,9
107,0.13576105,0,14,8
107,0.12846327,0,15,7
107,0.14562947,0,16,6
107,0.12101254,0,17,5
107,0.115793675,0,18,4
107,0.09068242,0,19,3
107,0.072650105,0,20,2
107,0.039993733,0,21,1
108,0.91841793,1,1,10
108,0.98822355,1,2,9
108,0.9926499,1,3,8
108,0.99461544,1,4,7
108,0.9947579,1,5,6
108,0.99500465,1,6,5
108,0.9954758,1,7,4
108,0.995647,1,8,3
108,0.9955869,1,9,2
108,0.995688,1,10,1
114,0.20140356,1,1,8
114,0.15180972,1,2,7
114,0.188485,1,3,6
114,0.1976332,1,4,5
114,0.18520275,1,5,4
114,0.26533768,1,6,3
114,0.1960254,1,7,2
114,0.22058937,1,8,1
115,0.8487004,1,1,12
115,0.958181,1,2,11
115,0.9859328,1,3,10
115,0.99316335,1,4,9
115,0.99435127,1,5,8
115,0.9932376,1,6,7
115,0.99123275,0,7,6
115,0.651538,0,8,5
115,0.45546865,0,9,4
115,0.34783745,0,10,3
115,0.2539487,0,11,2
115,0.18790212,0,12,1
118,0.56774974,1,1,115
118,0.64561844,1,2,114
118,0.98116493,1,3,113
118,0.74809927,1,4,112
118,0.34402633,1,5,111
118,0.36227968,1,6,110
118,0.3462799,1,7,109
118,0.3561521,1,8,108
118,0.7983296,1,9,107
118,0.4598149,1,10,106
118,0.49748057,1,11,105
118,0.5352307,1,12,104
118,0.32345077,1,13,103
118,0.37789935,1,14,102
118,0.41754296,1,15,101
118,0.5037861,1,16,100
118,0.5528459,1,17,99
118,0.85711324,1,18,98
118,0.96176565,1,19,97
118,0.9772041,1,20,96
118,0.7125521,1,21,95
118,0.7077457,1,22,94
118,0.64825183,1,23,93
118,0.6430626,1,24,92
118,0.5867241,1,25,91
118,0.57592016,1,26,90
118,0.58191454,1,27,89
118,0.5983211,1,28,88
118,0.71595234,1,29,87
118,0.6294462,1,30,86
118,0.24578553,1,31,85
118,0.25062215,1,32,84
118,0.22344303,1,33,83
118,0.27529424,1,34,82
118,0.28101587,1,35,81
118,0.3474005,1,36,80
118,0.35947898,1,37,79
118,0.77920365,1,38,78
118,0.49622792,1,39,77
118,0.23507833,1,40,76
118,0.24090642,1,41,75
118,0.21869475,1,42,74
118,0.2430374,1,43,73
118,0.2490018,1,44,72
118,0.4437368,1,45,71
118,0.49237257,1,46,70
118,0.36778116,1,47,69
118,0.36179852,1,48,68
118,0.34069017,1,49,67
118,0.4134947,1,50,66
118,0.22012535,1,51,65
118,0.2217943,1,52,64
118,0.24483314,1,53,63
118,0.29815894,1,54,62
118,0.32776016,1,55,61
118,0.5163682,1,56,60
118,0.31214273,1,57,59
118,0.40378672,1,58,58
118,0.29554737,1,59,57
118,0.30540597,1,60,56
118,0.38844046,1,61,55
118,0.5117997,1,62,54
118,0.4434823,1,63,53
118,0.6276409,1,64,52
118,0.48080546,1,65,51
118,0.7012672,1,66,50
118,0.74910235,1,67,49
118,0.4399398,1,68,48
118,0.510793,1,69,47
118,0.79805565,1,70,46
118,0.41153637,1,71,45
118,0.29819423,1,72,44
118,0.30273426,1,73,43
118,0.2209329,1,74,42
118,0.19243607,1,75,41
118,0.44210058,1,76,40
118,0.24403918,1,77,39
118,0.2705434,1,78,38
118,0.27637526,1,79,37
118,0.17204383,1,80,36
118,0.13757518,1,81,35
118,0.08791223,1,82,34
118,0.0663321,1,83,33
118,0.26066178,1,84,32
118,0.23264998,1,85,31
118,0.39658174,1,86,30
118,0.31295672,1,87,29
118,0.33321998,1,88,28
118,0.50198376,1,89,27
118,0.38805962,1,90,26
118,0.38559973,1,91,25
118,0.29908186,1,92,24
118,0.32396385,1,93,23
118,0.28629908,1,94,22
118,0.22058192,1,95,21
118,0.19471237,1,96,20
118,0.1986697,1,97,19
118,0.47459093,1,98,18
118,0.4413908,1,99,17
118,0.49502644,1,100,16
118,0.4579519,1,101,15
118,0.56117535,1,102,14
118,0.4450955,1,103,13
118,0.38147262,1,104,12
118,0.3827781,1,105,11
118,0.38049513,1,106,10
118,0.5451508,1,107,9
118,0.41227296,0,108,8
118,0.27130207,0,109,7
118,0.2623473,0,110,6
118,0.25782025,0,111,5
118,0.26855314,0,112,4
118,0.2576867,0,113,3
118,0.2513945,0,114,2
118,0.19572264,0,115,1
120,0.31179434,1,1,7
120,0.3659927,1,2,6
120,0.9890088,0,3,5
120,0.989403,0,4,4
120,0.99160755,0,5,3
120,0.9872589,0,6,2
120,0.55019414,0,7,1
121,0.7256308,1,1,11
121,0.9790274,1,2,10
121,0.9913993,1,3,9
121,0.9947517,1,4,8
121,0.99560976,1,5,7
121,0.9958798,1,6,6
121,0.99596035,1,7,5
121,0.9961475,1,8,4
121,0.9962241,1,9,3
121,0.99625635,1,10,2
121,0.99619424,1,11,1
124,0.41770315,1,1,11
124,0.4959398,1,2,10
124,0.35092467,1,3,9
124,0.26940215,1,4,8
124,0.21134219,1,5,7
124,0.15343204,1,6,6
124,0.09257525,1,7,5
124,0.15246117,1,8,4
124,0.13071135,1,9,3
124,0.0973748,1,10,2
124,0.09457484,1,11,1
130,0.9739127,1,1,6
130,0.9914885,1,2,5
130,0.99433297,1,3,4
130,0.99505705,1,4,3
130,0.99535346,1,5,2
130,0.9959167,1,6,1
131,0.59330046,1,1,19
131,0.4467126,1,2,18
131,0.7690514,1,3,17
131,0.9722693,1,4,16
131,0.9897362,1,5,15
131,0.99122095,1,6,14
131,0.9939184,1,7,13
131,0.9948889,1,8,12
131,0.9950663,1,9,11
131,0.9951347,1,10,10
131,0.9949994,1,11,9
131,0.9953645,1,12,8
131,0.9955338,1,13,7
131,0.9949149,1,14,6
131,0.9944829,1,15,5
131,0.99484515,1,16,4
131,0.9943882,1,17,3
131,0.7610227,1,18,2
131,0.73874605,1,19,1
133,0.5072676,1,1,122
133,0.6997453,1,2,121
133,0.96238554,1,3,120
133,0.98816663,1,4,119
133,0.9893599,1,5,118
133,0.99247444,1,6,117
133,0.7852098,1,7,116
133,0.62446815,1,8,115
133,0.94428563,1,9,114
133,0.91805637,1,10,113
133,0.8225707,1,11,112
133,0.8875973,1,12,111
133,0.99327445,1,13,110
133,0.9906899,1,14,109
133,0.99451756,1,15,108
133,0.9949385,1,16,107
133,0.99455905,1,17,106
133,0.9954167,1,18,105
133,0.9953231,1,19,104
133,0.9948857,1,20,103
133,0.995106,1,21,102
133,0.89435685,1,22,101
133,0.5427759,1,23,100
133,0.526552,1,24,99
133,0.37876824,1,25,98
133,0.32233784,1,26,97
133,0.33974415,1,27,96
133,0.30553493,1,28,95
133,0.33289468,1,29,94
133,0.43113798,1,30,93
133,0.4158997,1,31,92
133,0.9867922,1,32,91
133,0.75385356,1,33,90
133,0.5833727,1,34,89
133,0.53688926,1,35,88
133,0.46695706,1,36,87
133,0.5296539,1,37,86
133,0.45993948,1,38,85
133,0.5425359,1,39,84
133,0.4683717,1,40,83
133,0.33861864,1,41,82
133,0.38320106,1,42,81
133,0.27226138,1,43,80
133,0.23964441,1,44,79
133,0.23215246,1,45,78
133,0.30643925,1,46,77
133,0.30114657,1,47,76
133,0.9466754,1,48,75
133,0.54201037,1,49,74
133,0.48364156,1,50,73
133,0.39586973,1,51,72
133,0.9753571,1,52,71
133,0.7057155,1,53,70
133,0.98958135,0,54,69
133,0.6504098,0,55,68
133,0.6739278,0,56,67
133,0.8622449,0,57,66
133,0.7533846,0,58,65
133,0.53270924,0,59,64
133,0.4512624,0,60,63
133,0.30739692,0,61,62
133,0.22984529,0,62,61
133,0.19582134,0,63,60
133,0.17085642,0,64,59
133,0.14530951,0,65,58
133,0.11008063,0,66,57
133,0.07449502,0,67,56
133,0.06588778,0,68,55
133,0.11104575,0,69,54
133,0.13331422,0,70,53
133,0.21767333,0,71,52
133,0.18342823,0,72,51
133,0.17993915,0,73,50
133,0.2331559,0,74,49
133,0.28315544,0,75,48
133,0.207997,0,76,47
133,0.17714924,0,77,46
133,0.1517863,0,78,45
133,0.15308422,0,79,44
133,0.18519801,0,80,43
133,0.18431708,0,81,42
133,0.19122985,0,82,41
133,0.19046456,0,83,40
133,0.19702116,0,84,39
133,0.26666546,0,85,38
133,0.23641494,0,86,37
133,0.32835042,0,87,36
133,0.32647917,0,88,35
133,0.35999015,0,89,34
133,0.20361266,0,90,33
133,0.19940087,0,91,32
133,0.16785851,0,92,31
133,0.14018756,0,93,30
133,0.10991332,0,94,29
133,0.08380365,0,95,28
133,0.059221566,0,96,27
133,0.038047075,0,97,26
133,0.038872153,0,98,25
133,0.031280965,0,99,24
133,0.032325447,0,100,23
133,0.030080616,0,101,22
133,0.031938463,0,102,21
133,0.031082839,0,103,20
133,0.0378381,0,104,19
133,0.045538962,0,105,18
133,0.045496166,0,106,17
133,0.03392026,0,107,16
133,0.04158929,0,108,15
133,0.043115586,0,109,14
133,0.03508073,0,110,13
133,0.030900776,0,111,12
133,0.029636681,0,112,11
133,0.024998307,0,113,10
133,0.024443775,0,114,9
