CASE ID,Back-Office Adjustment Requested,Authorization Requested,Pending Request for acquittance of heirs,TEST_Back-Office Adjustment Requested,TEST_Authorization Requested,TEST_Pending Request for acquittance of heirs,Events from start,Events from end
20177004347,0.007884175,0.004662186,0.7715213,0,0,1,4,11
20177004347,0.00838086,0.0031411648,0.76926124,0,0,1,5,10
20177004347,0.008090228,0.0029138029,0.78543806,0,0,1,6,9
20177004347,0.0054766536,0.00041934848,0.9171603,0,0,1,7,8
20177004347,0.007380247,0.003212452,0.8025479,0,0,1,8,7
20177004347,0.0083120465,0.0029893517,0.80047756,0,0,1,9,6
20177004347,0.0047439635,0.0005644262,0.91749775,0,0,1,10,5
20177004347,0.0074859858,0.0032573938,0.8098888,0,0,1,11,4
20177004347,0.007078409,0.0031137466,0.83371335,0,0,1,12,3
20177004347,0.0077905655,0.0037665665,0.8491,0,0,1,13,2
20177004347,0.0034002364,3.889203e-05,0.97667736,0,0,1,14,1
20178005994,0.13381639,0.9957948,0.00025385618,0,1,0,1,5
20178005994,0.13141179,0.99639153,0.00011211634,0,1,0,2,4
20178005994,0.21894574,0.010892361,0.00032630563,0,0,0,3,3
20178005994,0.19953007,0.00046637654,0.00016352534,0,0,0,4,2
20178005994,0.18187925,0.00016537309,0.0003208518,0,0,0,5,1
20178006939,0.026255816,0.9777659,0.00027996302,0,1,0,1,5
20178006939,0.025021851,0.9974784,0.00035440922,0,1,0,2,4
20178006939,0.028846234,0.00691548,0.00012221932,0,0,0,3,3
20178006939,0.013676345,8.7440014e-05,2.5331974e-05,0,0,0,4,2
20178006939,0.01205492,5.0485134e-05,0.000130862,0,0,0,5,1
20178008599,0.038357943,0.0002965033,0.00013309717,1,0,0,1,6
20178008599,0.038232,9.4890594e-05,0.00019830465,1,0,0,2,5
20178008599,0.04309699,3.0428171e-05,3.093481e-05,1,0,0,3,4
20178008599,0.039375156,2.2143126e-05,2.5004148e-05,1,0,0,4,3
20178008599,0.04376313,6.0528517e-05,4.2289495e-05,1,0,0,5,2
20178008599,0.99977046,4.7922134e-05,8.046627e-06,1,0,0,6,1
20179000897,0.054016083,0.0002489686,0.00021791458,0,0,0,1,5
20179000897,0.038097233,8.952618e-05,0.00020501018,0,0,0,2,4
20179000897,0.041181624,2.4020672e-05,2.5510788e-05,0,0,0,3,3
20179000897,0.035551608,6.1690807e-06,1.731515e-05,0,0,0,4,2
20179000897,0.034332722,3.2186508e-06,1.3798475e-05,0,0,0,5,1
20179001451,0.13157198,0.99563235,0.00024813414,0,1,0,1,5
20179001451,0.12891737,0.9963536,0.000102669,0,1,0,2,4
20179001451,0.21954763,0.010887623,0.0003336668,0,0,0,3,3
20179001451,0.19789594,0.00040268898,0.00015854836,0,0,0,4,2
20179001451,0.18254822,0.0001758933,0.00034078956,0,0,0,5,1
20179001853,0.13354251,0.9957715,0.0002528429,0,1,0,1,5
20179001853,0.13373736,0.99636954,0.00013950467,0,1,0,2,4
20179001853,0.044716716,0.0058386624,0.00012123585,0,0,0,3,3
20179001853,0.04915449,0.00042834878,8.4519386e-05,0,0,0,4,2
20179001853,0.062352687,0.0005325973,0.00042045116,0,0,0,5,1
20179002675,0.038395494,0.00029233098,0.00014019012,0,0,0,1,5
20179002675,0.03751859,9.4383955e-05,0.00020805001,0,0,0,2,4
20179002675,0.038891852,1.8626451e-05,2.8133392e-05,0,0,0,3,3
20179002675,0.03723353,1.1831522e-05,2.130866e-05,0,0,0,4,2
20179002675,0.041353494,3.6895275e-05,3.373623e-05,0,0,0,5,1
20179003319,0.026357561,0.9777422,0.00027561188,0,1,0,1,5
20179003319,0.025021523,0.99746317,0.00035446882,0,1,0,2,4
20179003319,0.023317158,0.0063634813,0.00016278028,0,0,0,3,3
20179003319,0.0380781,0.00045612454,8.058548e-05,0,0,0,4,2
20179003319,0.03537509,0.00042814016,0.00011110306,0,0,0,5,1
20179004157,0.041475356,0.00024294853,0.00014224648,0,0,0,1,5
20179004157,0.029520571,8.0138445e-05,0.00025370717,0,0,0,2,4
20179004157,0.032482803,1.0073185e-05,2.4527311e-05,0,0,0,3,3
20179004157,0.031377852,4.6491623e-06,1.9103289e-05,0,0,0,4,2
20179004157,0.03395465,4.708767e-06,1.6748905e-05,0,0,0,5,1
20179005233,0.010229021,0.9635924,0.8009053,0,1,0,1,7
20179005233,0.010179609,0.9670037,0.7903973,0,1,0,2,6
20179005233,0.0080525875,0.0059892535,0.7867646,0,0,0,3,5
20179005233,0.0078125,0.004599452,0.7664062,0,0,0,4,4
20179005233,0.008692682,0.0029940605,0.7734922,0,0,0,5,3
20179005233,0.0077596903,0.0035240054,0.84007776,0,0,0,6,2
20179005233,0.0047801733,0.00054079294,0.9472009,0,0,0,7,1
20179005398,0.009996116,0.96487963,0.79833937,0,1,1,1,6
20179005398,0.009867281,0.96790254,0.7917495,0,1,1,2,5
20179005398,0.007992208,0.006167114,0.78866756,0,0,1,3,4
20179005398,0.008082926,0.0041682124,0.7836375,0,0,1,4,3
20179005398,0.008279413,0.0027694702,0.81004584,0,0,1,5,2
20179005398,0.0039435625,0.000114142895,0.96568197,0,0,1,6,1
20179006914,0.038360983,0.00029149652,0.00014001131,0,0,0,1,5
20179006914,0.03762719,9.5665455e-05,0.00020566583,0,0,0,2,4
20179006914,0.04454127,3.5315752e-05,2.6911497e-05,0,0,0,3,3
20179006914,0.046086878,9.343028e-05,4.413724e-05,0,0,0,4,2
20179006914,0.04196015,2.4437904e-05,2.4467707e-05,0,0,0,5,1
20179007247,0.13387525,0.99579895,0.000254035,0,1,0,1,5
20179007247,0.1360052,0.9963906,0.00017988682,0,1,0,2,4
20179007247,0.2178722,0.01092279,0.00031977892,0,0,0,3,3
20179007247,0.19801524,0.00039228797,0.0001501739,0,0,0,4,2
20179007247,0.17830628,0.00043562055,0.000543952,0,0,0,5,1
20179008134,0.010215044,0.96367323,0.80076146,0,1,1,1,10
20179008134,0.00937888,0.96807563,0.7950509,0,1,1,2,9
20179008134,0.00799033,0.0061419606,0.78727126,0,0,1,3,8
20179008134,0.00802353,0.004603952,0.7647593,0,0,1,4,7
20179008134,0.00914228,0.0027380288,0.7935885,0,0,1,5,6
20179008134,0.008682251,0.0026727319,0.7881911,0,0,1,6,5
20179008134,0.0058916807,0.0009828508,0.8904542,0,0,1,7,4
20179008134,0.006939769,0.0021553934,0.8371239,0,0,1,8,3
20179008134,0.0037243366,8.922815e-05,0.95505583,0,0,1,9,2
20179008134,0.0053819716,0.00072431564,0.91908324,0,0,1,10,1
20179008176,0.010246307,0.9635112,0.801152,0,1,1,1,8
20179008176,0.01030001,0.9664484,0.7899822,0,1,1,2,7
20179008176,0.008024693,0.0061502755,0.7859318,0,0,1,3,6
20179008176,0.008477926,0.004454255,0.7600697,0,0,1,4,5
20179008176,0.009151101,0.0026803017,0.8069625,0,0,1,5,4
20179008176,0.008170217,0.0026792288,0.79967207,0,0,1,6,3
20179008176,0.007848918,0.0028561056,0.7831559,0,0,1,7,2
20179008176,0.003432572,6.4998865e-05,0.96014655,0,0,1,8,1
20179008302,0.038858294,0.00029101968,0.00013184547,0,0,0,1,5
20179008302,0.038279176,9.486079e-05,0.00020179152,0,0,0,2,4
20179008302,0.043009877,2.9027462e-05,3.159046e-05,0,0,0,3,3
20179008302,0.039428443,2.2560358e-05,2.5361776e-05,0,0,0,4,2
20179008302,0.040535986,2.2858381e-05,2.631545e-05,0,0,0,5,1
20181000597,0.03842637,0.00029230118,0.00014081597,0,0,0,1,4
20181000597,0.0376361,9.5427036e-05,0.0002039969,0,0,0,2,3
20181000597,0.042197555,2.8192997e-05,2.8133392e-05,0,0,0,3,2
20181000597,0.035069257,9.685755e-06,2.1487474e-05,0,0,0,4,1
20181000902,0.010269046,0.96338344,0.80139124,0,1,0,1,7
20181000902,0.009356558,0.9680277,0.79542685,0,1,0,2,6
20181000902,0.007988393,0.0060825646,0.78635544,0,0,0,3,5
20181000902,0.008085698,0.004579246,0.7595461,0,0,0,4,4
20181000902,0.008619189,0.00247401,0.8301337,0,0,0,5,3
20181000902,0.007899493,0.002820015,0.8003888,0,0,0,6,2
20181000902,0.0075358152,0.0028564334,0.8046875,0,0,0,7,1
20181002993,0.038344145,0.00029236078,0.00013887882,1,0,0,1,6
20181002993,0.026518643,6.9350004e-05,0.0002667904,1,0,0,2,5
20181002993,0.03469768,1.4901161e-05,2.7626753e-05,1,0,0,3,4
20181002993,0.034654707,1.847744e-05,2.9116869e-05,1,0,0,4,3
20181002993,0.03793806,1.1950731e-05,2.130866e-05,1,0,0,5,2
20181002993,0.99983966,3.5613775e-05,7.599592e-06,1,0,0,6,1
20181003683,0.038357526,0.0002952218,0.00013494492,0,0,0,1,5
20181003683,0.03807199,9.498e-05,0.00019824505,0,0,0,2,4
20181003683,0.038936704,1.9550323e-05,2.5182962e-05,0,0,0,3,3
20181003683,0.03382787,6.198883e-06,1.8805265e-05,0,0,0,4,2
20181003683,0.03636369,6.0796738e-06,1.6212463e-05,0,0,0,5,1
20181004346,0.010187596,0.96383893,0.80050945,0,1,1,1,10
20181004346,0.009261996,0.9682103,0.79536873,0,1,1,2,9
20181004346,0.008018583,0.006073028,0.7863879,0,0,1,3,8
20181004346,0.008062094,0.0046492815,0.77750665,0,0,1,4,7
20181004346,0.008554637,0.0029906332,0.7846304,0,0,1,5,6
20181004346,0.00754112,0.002727747,0.793195,0,0,1,6,5
20181004346,0.006899655,0.0033006966,0.81047255,0,0,1,7,4
20181004346,0.0027190149,4.1604042e-05,0.9789527,0,0,1,8,3
20181004346,0.0016945302,2.0682812e-05,0.98178184,0,0,1,9,2
20181004346,0.0024772882,4.9620867e-05,0.9739374,0,0,1,10,1
20181004908,0.13325071,0.9957464,0.00025185943,0,1,0,1,5
20181004908,0.13372117,0.99639696,0.00014081597,0,1,0,2,4
20181004908,0.21879265,0.010961324,0.00032055378,0,0,0,3,3
20181004908,0.2012034,0.0005389154,0.00017023087,0,0,0,4,2
20181004908,0.18236756,0.00017657876,0.00033146143,0,0,0,5,1
20181005105,0.025146455,0.9776343,0.0002964437,0,1,0,1,4
20181005105,0.024752915,0.99754107,0.00034561753,0,1,0,2,3
20181005105,0.018943906,0.0061069727,0.00019410253,0,0,0,3,2
20181005105,0.013625294,8.097291e-05,3.3557415e-05,0,0,0,4,1
20181008566,0.026354313,0.977758,0.0002759099,0,1,0,1,9
20181008566,0.025018334,0.99747175,0.00035461783,0,1,0,2,8
20181008566,0.021535546,0.0061727464,0.0001834929,0,0,0,3,7
20181008566,0.013450116,8.434057e-05,3.6269426e-05,0,0,0,4,6
20181008566,0.009849697,2.9236078e-05,0.0001899302,0,0,0,5,5
20181008566,0.006788552,8.940697e-08,3.0010939e-05,0,0,0,6,4
20181008566,0.0013122857,0.0,1.4215708e-05,0,0,0,7,3
20181008566,0.0006247163,0.0,3.8653612e-05,0,0,0,8,2
20181008566,0.00052294135,0.0,4.4733286e-05,0,0,0,9,1
20181008973,0.0599882,0.9804052,0.00037318468,0,1,0,1,5
20181008973,0.035556197,0.99743664,0.00029206276,0,1,0,2,4
20181008973,0.029998481,0.0066018403,0.00012528896,0,0,0,3,3
20181008973,0.0435867,0.0005686283,0.00010672212,0,0,0,4,2
20181008973,0.047166795,0.00029948354,0.00033438206,0,0,0,5,1
20181010806,0.038853526,0.00029838085,0.00013309717,0,0,0,1,5
20181010806,0.028033853,8.383393e-05,0.0002732277,0,0,0,2,4
20181010806,0.027651906,3.9041042e-06,1.7106533e-05,0,0,0,3,3
20181010806,0.03172493,3.6358833e-06,1.7553568e-05,0,0,0,4,2
20181010806,0.03714198,2.8640032e-05,3.6239624e-05,0,0,0,5,1
20181011389,0.038733304,0.00029662251,0.0001320839,0,0,0,1,7
20181011389,0.02775526,7.9363585e-05,0.0002695918,0,0,0,2,6
20181011389,0.029108077,5.930662e-06,2.0563602e-05,0,0,0,3,5
20181011389,0.029298037,3.0994415e-06,1.835823e-05,0,0,0,4,4
20181011389,0.026530981,1.5795231e-06,1.2457371e-05,0,0,0,5,3
20181011389,0.029196322,1.013279e-06,1.2516975e-05,0,0,0,6,2
20181011389,0.032351524,1.2516975e-06,1.2010336e-05,0,0,0,7,1
20181012611,0.133739,0.99579155,0.0002542138,0,1,0,1,5
20181012611,0.13600478,0.99639803,0.00018382072,0,1,0,2,4
20181012611,0.04686424,0.005784571,0.00011894107,0,0,0,3,3
20181012611,0.048098892,0.00027263165,5.3435564e-05,0,0,0,4,2
20181012611,0.050199687,0.00046941638,0.0003632903,0,0,0,5,1
20181013039,0.038449496,0.0002976656,0.00013142824,0,0,0,1,5
20181013039,0.03788972,9.62615e-05,0.00021520257,0,0,0,2,4
20181013039,0.042001218,2.515316e-05,2.965331e-05,0,0,0,3,3
20181013039,0.03845048,1.5288591e-05,2.1070242e-05,0,0,0,4,2
20181013039,0.044000894,7.3611736e-05,4.3302774e-05,0,0,0,5,1
20181013332,0.13221398,0.995672,0.00024965405,0,1,0,1,5
20181013332,0.12934321,0.9963271,0.000102072954,0,1,0,2,4
20181013332,0.04100743,0.005466461,0.00011897087,0,0,0,3,3
20181013332,0.049159557,0.0005006194,0.00010180473,0,0,0,4,2
20181013332,0.04893118,0.0004953146,0.00025123358,0,0,0,5,1
20181016000,0.13388264,0.99580044,0.0002540648,0,1,0,1,5
20181016000,0.13206396,0.99636316,0.00011712313,0,1,0,2,4
20181016000,0.04339078,0.005726844,0.000112742186,0,0,0,3,3
20181016000,0.049883872,0.00049191713,9.945035e-05,0,0,0,4,2
20181016000,0.06331301,0.000551939,0.0005054176,0,0,0,5,1
20182000191,0.026248246,0.9777652,0.00027912855,0,1,0,1,5
20182000191,0.024989039,0.9974813,0.0003530085,0,1,0,2,4
20182000191,0.01913014,0.0059230328,0.00020104647,0,0,0,3,3
20182000191,0.013662547,8.055568e-05,2.9712915e-05,0,0,0,4,2
20182000191,0.010423064,3.6358833e-05,0.00018337369,0,0,0,5,1
20182002052,0.13343224,0.99576104,0.00025236607,0,1,0,1,5
20182002052,0.13438547,0.99640125,0.00015038252,0,1,0,2,4
20182002052,0.21827188,0.010944158,0.00031995773,0,0,0,3,3
20182002052,0.19876319,0.00044494867,0.00015863776,0,0,0,4,2
20182002052,0.18458328,0.00019389391,0.0003322959,0,0,0,5,1
20182002208,0.010256648,0.9634542,0.80127853,0,1,0,1,5
20182002208,0.010320008,0.9664271,0.78916514,0,1,0,2,4
20182002208,0.007968128,0.0060908794,0.7854787,0,0,0,3,3
20182002208,0.008037537,0.00470531,0.7726028,0,0,0,4,2
20182002208,0.008120239,0.0033379495,0.7755216,0,0,0,5,1
20182002234,0.026276976,0.9777568,0.00027936697,0,1,0,1,5
20182002234,0.025004953,0.9974778,0.0003541112,0,1,0,2,4
20182002234,0.027511925,0.006900221,0.00012293458,0,0,0,3,3
20182002234,0.013705254,8.6158514e-05,2.8580427e-05,0,0,0,4,2
20182002234,0.011979133,0.0001334548,4.8220158e-05,0,0,0,5,1
20182007321,0.038345248,0.00029343367,0.00013661385,0,0,0,1,5
20182007321,0.036340356,0.00010022521,0.00023692846,0,0,0,2,4
20182007321,0.040930867,2.3305416e-05,2.8640032e-05,0,0,0,3,3
20182007321,0.038343728,1.3589859e-05,2.259016e-05,0,0,0,4,2
20182007321,0.042827755,6.03199e-05,3.835559e-05,0,0,0,5,1
20182007896,0.025435746,0.97770417,0.00028657913,0,1,0,1,5
20182007896,0.024808228,0.9975363,0.0003465712,0,1,0,2,4
20182007896,0.029113531,0.0071260035,0.00012075901,0,0,0,3,3
20182007896,0.029247373,0.00022640824,3.427267e-05,0,0,0,4,2
20182007896,0.012488574,0.00014960766,0.00011438131,0,0,0,5,1
20182009361,0.13365737,0.995782,0.00025323033,0,1,0,1,7
20182009361,0.1345801,0.99636024,0.00015366077,0,1,0,2,6
20182009361,0.048746794,0.0060560107,0.0001064837,0,1,0,3,5
20182009361,0.022609025,0.99333596,7.009506e-05,0,1,0,4,4
20182009361,0.10295561,0.010707706,0.00023701787,0,0,0,5,3
20182009361,0.07907674,0.0005824864,9.602308e-05,0,0,0,6,2
20182009361,0.075154126,0.000675112,0.00030067563,0,0,0,7,1
20182009564,0.038443983,0.00029563904,0.00013548136,1,0,0,1,8
20182009564,0.038067758,9.447336e-05,0.00019785762,1,0,0,2,7
20182009564,0.03735766,1.6361475e-05,2.297759e-05,1,0,0,3,6
20182009564,0.035870463,7.56979e-06,1.8835068e-05,1,0,0,4,5
20182009564,0.034430593,4.917383e-06,1.6003847e-05,1,0,0,5,4
20182009564,0.032533407,3.2484531e-06,1.4334917e-05,1,0,0,6,3
20182009564,0.03365773,2.2649765e-06,1.3053417e-05,1,0,0,7,2
20182009564,0.9998515,9.804964e-06,5.3942204e-06,1,0,0,8,1
20182009607,0.13373947,0.9957931,0.00025433302,0,1,0,1,5
20182009607,0.13380304,0.9963362,0.00014296174,0,1,0,2,4
20182009607,0.15834191,0.010408223,0.00012594461,0,0,0,3,3
20182009607,0.15046519,0.0006071925,7.0780516e-05,0,0,0,4,2
20182009607,0.13565099,0.00025260448,0.00019863248,0,0,0,5,1
20182010085,0.010077268,0.9644462,0.7993684,0,1,1,1,8
20182010085,0.010258168,0.96684635,0.78967154,0,1,1,2,7
20182010085,0.008009464,0.006017983,0.7863067,0,0,1,3,6
20182010085,0.0079979,0.004696578,0.7651181,0,0,1,4,5
20182010085,0.0073681474,0.0036310852,0.7918334,0,0,1,5,4
20182010085,0.006932676,0.003247559,0.8110683,0,0,1,6,3
20182010085,0.007112652,0.00345245,0.8074672,0,0,1,7,2
20182010085,0.0020776093,2.3782253e-05,0.98112845,0,0,1,8,1
20182011180,0.038948715,0.0002911985,0.00013267994,1,0,0,1,6
20182011180,0.037152022,9.414554e-05,0.00022545457,1,0,0,2,5
20182011180,0.039559513,1.8894672e-05,2.5868416e-05,1,0,0,3,4
20182011180,0.033611953,7.2717667e-06,2.0325184e-05,1,0,0,4,3
20182011180,0.03521344,5.155802e-06,1.6659498e-05,1,0,0,5,2
20182011180,0.99980235,1.9192696e-05,7.480383e-06,1,0,0,6,1
20182012216,0.13383111,0.99579674,0.0002540648,0,1,0,1,5
20182012216,0.13546461,0.9963868,0.00017118454,0,1,0,2,4
20182012216,0.21787041,0.010896683,0.0003247261,0,0,0,3,3
20182012216,0.1988957,0.0005118847,0.0001680255,0,0,0,4,2
20182012216,0.17831868,0.00022211671,0.00037553906,0,0,0,5,1
20183000173,0.025933862,0.977754,0.00028041005,0,1,0,1,5
20183000173,0.024924338,0.9974954,0.0003502369,0,1,0,2,4
20183000173,0.029561162,0.006914884,0.0001269877,0,0,0,3,3
20183000173,0.026889294,0.00019139051,2.360344e-05,0,0,0,4,2
20183000173,0.012489349,0.00014734268,0.00010585785,0,0,0,5,1
20183000292,0.025962025,0.97775877,0.0002799034,0,1,0,1,5
20183000292,0.024920821,0.9974958,0.00034996867,0,1,0,2,4
20183000292,0.026937336,0.007014692,0.00011974573,0,0,0,3,3
20183000292,0.014115185,8.547306e-05,2.1338463e-05,0,0,0,4,2
20183000292,0.012183577,5.105138e-05,0.00017392635,0,0,0,5,1
20183000364,0.0099129975,0.9653596,0.7975205,0,1,1,1,8
20183000364,0.009316683,0.9681579,0.79553163,0,1,1,2,7
20183000364,0.007976919,0.0061461926,0.7883846,0,0,1,3,6
20183000364,0.008170366,0.0043851733,0.7840159,0,0,1,4,5
20183000364,0.009437233,0.0026551187,0.8044941,0,0,1,5,4
20183000364,0.008791029,0.0025619864,0.8135296,0,0,1,6,3
20183000364,0.006484121,0.0009508133,0.8989007,0,0,1,7,2
20183000364,0.004004866,0.00028932095,0.9676293,0,0,1,8,1
20183000793,0.038461685,0.00029209256,0.00014206767,0,0,0,1,5
20183000793,0.025939018,6.7293644e-05,0.00026771426,0,0,0,2,4
20183000793,0.02460292,1.3113022e-06,1.1950731e-05,0,0,0,3,3
20183000793,0.029941529,1.6093254e-06,1.4662743e-05,0,0,0,4,2
20183000793,0.035193145,1.2278557e-05,3.0338764e-05,0,0,0,5,1
20183001106,0.13378128,0.9957917,0.00025364757,0,1,0,1,9
20183001106,0.13043767,0.99646795,0.00010576844,0,1,0,2,8
20183001106,0.21815887,0.010903269,0.0003248155,0,0,0,3,7
20183001106,0.20890304,0.0006272495,0.00022739172,0,0,0,4,6
20183001106,0.18791398,0.00022652745,0.0001347959,0,0,0,5,5
20183001106,0.19018489,0.00038677454,0.00048458576,0,0,0,6,4
20183001106,0.15620854,0.00075900555,0.0002975464,0,0,0,7,3
20183001106,0.1623145,0.00023642182,0.00017103553,0,0,0,8,2
20183001106,0.2251313,0.00041350722,0.0004929006,0,0,0,9,1
20183001275,0.010328412,0.96301293,0.8019974,0,1,1,1,10
20183001275,0.010215849,0.9669125,0.7901323,0,1,1,2,9
20183001275,0.0080450475,0.0060085356,0.7867471,0,0,1,3,8
20183001275,0.007930547,0.0044031143,0.7720849,0,0,1,4,7
20183001275,0.009058565,0.0028249621,0.79001236,0,0,1,5,6
20183001275,0.008070856,0.0028325915,0.7901321,0,0,1,6,5
20183001275,0.0076067746,0.0029084086,0.7919439,0,0,1,7,4
20183001275,0.0068021417,0.0024079978,0.8255045,0,0,1,8,3
20183001275,0.0055627227,0.0010785758,0.9072677,0,0,1,9,2
20183001275,0.0070618987,0.0027908087,0.8343559,0,0,1,10,1
20183001708,0.03854963,0.00029495358,0.00014057755,0,0,0,1,5
20183001708,0.026296705,6.854534e-05,0.0002670884,0,0,0,2,4
20183001708,0.023853958,7.1525574e-07,9.745359e-06,0,0,0,3,3
20183001708,0.029444933,9.23872e-07,1.2308359e-05,0,0,0,4,2
20183001708,0.031956166,1.2516975e-06,1.129508e-05,0,0,0,5,1
20183002281,0.038411617,0.0002963543,0.00013321638,0,0,0,1,5
20183002281,0.03828284,9.313226e-05,0.00019425154,0,0,0,2,4
20183002281,0.042055607,2.5779009e-05,3.090501e-05,0,0,0,3,3
20183002281,0.034769326,7.6293945e-06,1.9460917e-05,0,0,0,4,2
20183002281,0.036318958,6.2286854e-06,1.7017126e-05,0,0,0,5,1
20183002417,0.026538879,0.97777796,0.00027570128,0,1,0,1,5
20183002417,0.025050223,0.9974758,0.00035470724,0,1,0,2,4
20183002417,0.02910623,0.0069107115,0.00012332201,0,0,0,3,3
20183002417,0.019858629,0.000103116035,2.2858381e-05,0,0,0,4,2
20183002417,0.012724817,9.420514e-05,0.00013911724,0,0,0,5,1
20183002474,0.03832364,0.00029179454,0.00013908744,0,0,0,1,9
20183002474,0.037641764,9.521842e-05,0.00020518899,0,0,0,2,8
20183002474,0.037903517,1.6510487e-05,2.3156404e-05,0,0,0,3,7
20183002474,0.033182472,4.976988e-06,1.7762184e-05,0,0,0,4,6
20183002474,0.029187977,1.8179417e-06,1.0102987e-05,0,0,0,5,5
20183002474,0.03216976,9.834766e-07,1.0669231e-05,0,0,0,6,4
20183002474,0.029051006,4.7683716e-07,7.6293945e-06,0,0,0,7,3
20183002474,0.031277984,2.682209e-07,7.5399876e-06,0,0,0,8,2
20183002474,0.03334883,2.9802322e-07,7.4505806e-06,0,0,0,9,1
20183003271,0.13384861,0.9957975,0.0002539158,0,1,0,1,5
20183003271,0.13222128,0.99634874,0.000118643045,0,1,0,2,4
20183003271,0.21908176,0.010919899,0.00032263994,0,0,0,3,3
20183003271,0.19849485,0.00042241812,0.0001552701,0,0,0,4,2
20183003271,0.18103233,0.00019055605,0.00034746528,0,0,0,5,1
20183003988,0.12692416,0.9952731,0.00024941564,0,1,0,1,5
20183003988,0.12575573,0.9965337,0.000105798244,0,1,0,2,4
20183003988,0.040107757,0.005963683,0.00012212992,0,0,0,3,3
20183003988,0.0490202,0.0006095767,0.00013029575,0,0,0,4,2
20183003988,0.048330992,0.0002565682,0.0003412962,0,0,0,5,1
20183004641,0.01025033,0.9634894,0.80121255,0,1,1,1,6
20183004641,0.009827137,0.9687016,0.7897223,0,1,1,2,5
20183004641,0.00796625,0.0060941577,0.78710264,0,0,1,3,4
20183004641,0.008059084,0.0047038496,0.772285,0,0,1,4,3
20183004641,0.010351479,0.00317806,0.83378875,0,0,1,5,2
20183004641,0.006830871,0.003210634,0.8136362,0,0,1,6,1
20183004888,0.028820038,0.97803736,0.00028058887,0,1,0,1,5
20183004888,0.025584668,0.99751735,0.0003774464,0,1,0,2,4
20183004888,0.028130978,0.006889373,0.00012084842,0,0,0,3,3
20183004888,0.018607825,8.7440014e-05,1.5348196e-05,0,0,0,4,2
20183004888,0.012116134,9.196997e-05,0.00011605024,0,0,0,5,1
20183005808,0.02592066,0.9777509,0.00028067827,0,1,0,1,5
20183005808,0.024912149,0.9974953,0.00034987926,0,1,0,2,4
20183005808,0.023657829,0.006616801,0.0001462698,0,0,0,3,3
20183005808,0.034842283,0.00043949485,6.3568354e-05,0,0,0,4,2
20183005808,0.0315603,0.00048694015,7.4118376e-05,0,0,0,5,1
20183006518,0.03852895,0.00029468536,0.00014021993,1,0,0,1,6
20183006518,0.026278704,6.866455e-05,0.00026741624,1,0,0,2,5
20183006518,0.024139881,9.23872e-07,1.04904175e-05,1,0,0,3,4
20183006518,0.028344363,8.34465e-07,1.2904406e-05,1,0,0,4,3
20183006518,0.03130132,1.3411045e-06,1.2367964e-05,1,0,0,5,2
20183006518,0.999826,5.6922436e-06,4.5001507e-06,1,0,0,6,1
20183006587,0.041223913,0.0002500713,0.00014033914,0,0,0,1,5
20183006587,0.037283957,8.85427e-05,0.0001874268,0,0,0,2,4
