CASE ID,Back-Office Adjustment Requested,Authorization Requested,Pending Request for acquittance of heirs,Explanations for Back-Office Adjustment Requested happening,Explanations for Back-Office Adjustment Requested not happening,Explanations for Authorization Requested happening,Explanations for Authorization Requested not happening,Explanations for Pending Request for acquittance of heirs happening,Explanations for Pending Request for acquittance of heirs not happening
201811010975,0.0,0.0,0.0,,,,ROLE=DIRECTOR AND ACTIVITY=Authorization Requested AND ROLE!=APPLICANT,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost
201811011149,0.0,0.0,0.0,,ACTIVITY=Service closure Request with network responsibility (-2) AND ROLE=APPLICANT (-2),,ROLE!=APPLICANT AND ROLE=BACK-OFFICE AND ACTIVITY=Service closure Request with BO responsibility AND CLOSURE_REASON!=2 - Keep bank account. Same dip,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost
201812000158,0.0,0.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip AND CLOSURE_TYPE!=Bank Recess,,ACTIVITY=Service closure Request with BO responsibility AND CLOSURE_TYPE!=Bank Recess AND ROLE=BACK-OFFICE AND ROLE!=APPLICANT,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=2 - Keep bank account. Same dip
201812001382,0.0,1.0,0.0,,,CLOSURE_TYPE=Bank Recess,,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Bank Recess
201812002231,0.0,1.0,0.0,,CLOSURE_REASON=2 - Keep bank account. Same dip,CLOSURE_REASON=2 - Keep bank account. Same dip,,,CLOSURE_TYPE!=Inheritance
201812004657,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201812004749,0.0,1.0,1.0,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,
201812005701,1.0,0.0,0.0,CLOSURE_REASON!=1 - Client lost,,,,,CLOSURE_TYPE!=Inheritance
201812005741,1.0,0.0,0.0,CLOSURE_REASON!=1 - Client lost AND weekday=Saturday (-1),,,weekday=Saturday (-1) AND CE_UO=BOF,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess
201812006296,0.0,1.0,1.0,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,
201812007189,0.0,1.0,1.0,,CLOSURE_TYPE=Inheritance,CLOSURE_TYPE=Inheritance,,CLOSURE_TYPE=Inheritance,
201812007446,1.0,0.0,0.0,ACTIVITY=Pending Liquidation Request,,,ACTIVITY=Pending Liquidation Request,,CLOSURE_TYPE!=Inheritance AND ACTIVITY=Pending Liquidation Request
201812007724,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess AND CLOSURE_REASON=1 - Client lost,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
201812007950,1.0,0.0,0.0,ACTIVITY=Pending Liquidation Request (-1) AND CLOSURE_TYPE=Client Recess AND CLOSURE_TYPE!=Inheritance,,,ACTIVITY=Pending Liquidation Request (-1) AND CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_TYPE=Client Recess
201812009053,0.0,0.0,0.0,,CLOSURE_TYPE!=Bank Recess AND CLOSURE_TYPE=Client Recess,,CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess,,CLOSURE_TYPE!=Inheritance AND CLOSURE_REASON=1 - Client lost AND CLOSURE_TYPE=Client Recess
