CASE ID,Wait - User,TEST_Wait - User,Events from start,Events from end
40,0.3611005,1,2,15
40,0.36110494,1,3,14
40,0.36110842,1,4,13
40,0.36111033,1,5,12
40,0.3611096,1,6,11
40,0.3611017,1,7,10
40,0.3610878,1,8,9
40,0.3610693,1,9,8
40,0.36104858,1,10,7
40,0.36102623,0,11,6
40,0.36100113,0,12,5
40,0.36097646,0,13,4
40,0.36095315,0,14,3
40,0.36092806,0,15,2
40,0.36090448,0,16,1
44,0.36109823,1,1,6
44,0.36111233,1,2,5
44,0.36113235,1,3,4
44,0.3611549,1,4,3
44,0.36117715,0,5,2
44,0.36119366,0,6,1
46,0.36109546,1,1,25
46,0.36110145,1,2,24
46,0.36111236,1,3,23
46,0.36112374,1,4,22
46,0.3611311,1,5,21
46,0.3611328,1,6,20
46,0.36112756,1,7,19
46,0.361117,1,8,18
46,0.36110216,1,9,17
46,0.36108363,1,10,16
46,0.36106512,1,11,15
46,0.3610441,1,12,14
46,0.36102378,0,13,13
46,0.36100343,0,14,12
46,0.3609894,0,15,11
46,0.36098516,0,16,10
46,0.36098838,0,17,9
46,0.36099622,0,18,8
46,0.36101127,0,19,7
46,0.36102778,0,20,6
46,0.36104402,0,21,5
46,0.3610592,0,22,4
46,0.3610693,0,23,3
46,0.36107272,0,24,2
46,0.36106658,0,25,1
49,0.36109534,1,1,39
49,0.36110094,1,2,38
49,0.36111325,1,3,37
49,0.3611321,1,4,36
49,0.36115295,1,5,35
49,0.36117154,1,6,34
49,0.3611817,1,7,33
49,0.36118555,1,8,32
49,0.36118686,1,9,31
49,0.36118817,1,10,30
49,0.36118785,1,11,29
49,0.3611813,1,12,28
49,0.361171,1,13,27
49,0.3611585,1,14,26
49,0.36114687,1,15,25
49,0.36113915,1,16,24
49,0.36113572,1,17,23
49,0.36113295,1,18,22
49,0.36112836,1,19,21
49,0.36112332,1,20,20
49,0.3611161,1,21,19
49,0.3611072,1,22,18
49,0.3610976,1,23,17
49,0.3610872,1,24,16
49,0.3610759,1,25,15
49,0.36106476,1,26,14
49,0.36105263,1,27,13
49,0.361041,1,28,12
49,0.36102882,1,29,11
49,0.36101663,1,30,10
49,0.36100447,1,31,9
49,0.36098963,1,32,8
49,0.3609752,1,33,7
49,0.3609614,0,34,6
49,0.36094812,0,35,5
49,0.36093706,0,36,4
49,0.36092684,0,37,3
49,0.3609181,0,38,2
49,0.36091214,0,39,1
51,0.36109644,1,1,22
51,0.36110634,1,2,21
51,0.36112356,1,3,20
51,0.3611411,1,4,19
51,0.361156,1,5,18
51,0.3611666,1,6,17
51,0.36117202,1,7,16
51,0.3611672,1,8,15
51,0.3611563,1,9,14
51,0.36114404,1,10,13
51,0.36113465,1,11,12
51,0.36113214,1,12,11
51,0.3611372,1,13,10
51,0.36114413,1,14,9
51,0.36115065,1,15,8
51,0.36115456,0,16,7
51,0.36115557,0,17,6
51,0.36115664,0,18,5
51,0.36116147,0,19,4
51,0.36116672,0,20,3
51,0.3611741,0,21,2
51,0.3611858,0,22,1
52,0.36109623,1,1,8
52,0.36110276,1,2,7
52,0.36111236,1,3,6
52,0.36112398,1,4,5
52,0.361135,1,5,4
52,0.3611458,1,6,3
52,0.3611546,0,7,2
52,0.3611575,0,8,1
53,0.36109483,0,1,13
53,0.3610997,0,2,12
53,0.3611087,0,3,11
53,0.36111802,0,4,10
53,0.36112237,0,5,9
53,0.361121,0,6,8
53,0.36111572,0,7,7
53,0.36110967,0,8,6
53,0.36110318,0,9,5
53,0.361098,0,10,4
53,0.3610931,0,11,3
53,0.3610895,0,12,2
53,0.361086,0,13,1
56,0.36109602,1,1,10
56,0.36110282,1,2,9
56,0.36111337,1,3,8
56,0.36112598,1,4,7
56,0.36113802,1,5,6
56,0.3611497,1,6,5
56,0.3611579,1,7,4
56,0.3611623,0,8,3
56,0.36115986,0,9,2
56,0.36115095,0,10,1
60,0.3610953,1,1,49
60,0.3611018,1,2,48
60,0.36111385,1,3,47
60,0.36112905,1,4,46
60,0.36114526,1,5,45
60,0.36116257,1,6,44
60,0.3611773,1,7,43
60,0.3611878,1,8,42
60,0.36119384,1,9,41
60,0.36120045,1,10,40
60,0.36120725,1,11,39
60,0.36121112,1,12,38
60,0.36121228,1,13,37
60,0.3612126,1,14,36
60,0.36121014,1,15,35
60,0.36120534,1,16,34
60,0.36119676,1,17,33
60,0.36118317,1,18,32
60,0.36116776,1,19,31
60,0.36115235,1,20,30
60,0.36113733,1,21,29
60,0.36112136,1,22,28
60,0.36110443,1,23,27
60,0.36108685,1,24,26
60,0.36107004,1,25,25
60,0.3610543,1,26,24
60,0.3610382,1,27,23
60,0.361025,1,28,22
60,0.36101508,1,29,21
60,0.36100894,1,30,20
60,0.3610049,1,31,19
60,0.36100283,1,32,18
60,0.36100292,1,33,17
60,0.36100236,1,34,16
60,0.3610052,1,35,15
60,0.36101222,1,36,14
60,0.3610164,1,37,13
60,0.36101955,1,38,12
60,0.36102486,0,39,11
60,0.36103183,0,40,10
60,0.3610415,0,41,9
60,0.36105207,0,42,8
60,0.36106455,0,43,7
60,0.36107737,0,44,6
60,0.36109054,0,45,5
60,0.3611023,0,46,4
60,0.3611121,0,47,3
60,0.3611177,0,48,2
60,0.36111683,0,49,1
61,0.36109656,0,1,13
61,0.36110374,0,2,12
61,0.361113,0,3,11
61,0.36112407,0,4,10
61,0.3611343,0,5,9
61,0.36114216,0,6,8
61,0.36114734,0,7,7
61,0.3611475,0,8,6
61,0.36113912,0,9,5
61,0.36112356,0,10,4
61,0.36110273,0,11,3
61,0.3610776,0,12,2
61,0.36105096,0,13,1
65,0.36109537,0,1,25
65,0.36110124,0,2,24
65,0.3611114,0,3,23
65,0.36112297,0,4,22
65,0.36112985,0,5,21
65,0.36113203,0,6,20
65,0.36112642,0,7,19
65,0.3611161,0,8,18
65,0.36110026,0,9,17
65,0.36108232,0,10,16
65,0.36106396,0,11,15
65,0.3610455,0,12,14
65,0.36102974,0,13,13
65,0.36101753,0,14,12
65,0.3610062,0,15,11
65,0.36099574,0,16,10
65,0.3609876,0,17,9
65,0.36098182,0,18,8
65,0.36097965,0,19,7
65,0.36098132,0,20,6
65,0.36098546,0,21,5
65,0.36099157,0,22,4
65,0.36099744,0,23,3
65,0.36100516,0,24,2
65,0.36101115,0,25,1
66,0.36109537,0,1,15
66,0.36110085,0,2,14
66,0.36110908,0,3,13
66,0.36111844,0,4,12
66,0.361125,0,5,11
66,0.36112815,0,6,10
66,0.36112642,0,7,9
66,0.36111954,0,8,8
66,0.36110884,0,9,7
66,0.3610974,0,10,6
66,0.3610869,0,11,5
66,0.36107838,0,12,4
66,0.36107177,0,13,3
66,0.36106783,0,14,2
66,0.36106417,0,15,1
68,0.3610936,0,1,27
68,0.36109614,0,2,26
68,0.36110252,0,3,25
68,0.36111248,0,4,24
68,0.36112392,0,5,23
68,0.36113793,0,6,22
68,0.36115128,0,7,21
68,0.3611616,0,8,20
68,0.3611678,0,9,19
68,0.36116928,0,10,18
68,0.36116487,0,11,17
68,0.36115626,0,12,16
68,0.36114573,0,13,15
68,0.3611343,0,14,14
68,0.3611232,0,15,13
68,0.36111158,0,16,12
68,0.3610991,0,17,11
68,0.36108634,0,18,10
68,0.36107337,0,19,9
68,0.3610599,0,20,8
68,0.36104524,0,21,7
68,0.36103135,0,22,6
68,0.36102074,0,23,5
68,0.36101222,0,24,4
68,0.36100596,0,25,3
68,0.3610035,0,26,2
68,0.36100495,0,27,1
69,0.36109847,1,1,11
69,0.36111125,1,2,10
69,0.3611288,1,3,9
69,0.36114752,1,4,8
69,0.3611678,1,5,7
69,0.36118624,1,6,6
69,0.36119807,1,7,5
69,0.36120242,1,8,4
69,0.36119783,0,9,3
69,0.36118543,0,10,2
69,0.36116523,0,11,1
72,0.36109716,1,1,8
72,0.36110502,1,2,7
72,0.3611166,0,3,6
72,0.3611285,0,4,5
72,0.36113924,0,5,4
72,0.36114684,0,6,3
72,0.36114943,0,7,2
72,0.36114365,0,8,1
75,0.36109638,1,1,7
75,0.3611028,1,2,6
75,0.36111242,1,3,5
75,0.3611235,1,4,4
75,0.3611346,0,5,3
75,0.36114448,0,6,2
75,0.36115134,0,7,1
76,0.36109707,1,1,12
76,0.36110714,1,2,11
76,0.36112458,1,3,10
76,0.36114573,1,4,9
76,0.36116648,1,5,8
76,0.36118296,1,6,7
76,0.36119246,1,7,6
76,0.3611951,1,8,5
76,0.3611893,1,9,4
76,0.36117506,1,10,3
76,0.3611548,0,11,2
76,0.36112833,0,12,1
78,0.36109322,0,1,13
78,0.36109456,0,2,12
78,0.36109936,0,3,11
78,0.3611073,0,4,10
78,0.3611164,0,5,9
78,0.36112428,0,6,8
78,0.36112773,0,7,7
78,0.36112732,0,8,6
78,0.3611244,0,9,5
78,0.36111942,0,10,4
78,0.36111337,0,11,3
78,0.36110824,0,12,2
78,0.3611029,0,13,1
79,0.3610943,0,1,3
79,0.36109686,0,2,2
79,0.36110222,0,3,1
81,0.36109528,0,1,11
81,0.36110055,0,2,10
81,0.36111027,0,3,9
81,0.3611214,0,4,8
81,0.3611331,0,5,7
81,0.36114663,0,6,6
81,0.36116028,0,7,5
81,0.3611736,0,8,4
81,0.36118484,0,9,3
81,0.36119235,0,10,2
81,0.36119336,0,11,1
82,0.36109656,0,1,7
82,0.3611043,0,2,6
82,0.36111593,0,3,5
82,0.36112982,0,4,4
82,0.36114383,0,5,3
82,0.3611561,0,6,2
82,0.36116564,0,7,1
85,0.36109537,1,1,15
85,0.36110294,1,2,14
85,0.3611166,1,3,13
85,0.361132,1,4,12
85,0.36114624,1,5,11
85,0.36115927,1,6,10
85,0.36116982,1,7,9
85,0.36117762,1,8,8
85,0.36118644,1,9,7
85,0.361192,1,10,6
85,0.3611894,1,11,5
85,0.3611844,1,12,4
85,0.36117604,1,13,3
85,0.36116195,0,14,2
85,0.361144,0,15,1
86,0.36109424,0,1,13
86,0.3610976,0,2,12
86,0.36110526,0,3,11
86,0.36111537,0,4,10
86,0.36112654,0,5,9
86,0.3611387,0,6,8
86,0.36115095,0,7,7
86,0.3611619,0,8,6
86,0.36116976,0,9,5
86,0.3611747,0,10,4
86,0.36117542,0,11,3
86,0.3611732,0,12,2
86,0.36116612,0,13,1
87,0.36109555,1,1,31
87,0.3610992,1,2,30
87,0.361107,1,3,29
87,0.36111635,1,4,28
87,0.36112455,1,5,27
87,0.3611297,1,6,26
87,0.36113036,1,7,25
87,0.36112726,1,8,24
87,0.36112392,1,9,23
87,0.36112034,1,10,22
87,0.3611136,1,11,21
87,0.36110374,1,12,20
87,0.36109072,1,13,19
87,0.36107588,1,14,18
87,0.3610586,1,15,17
87,0.36104104,1,16,16
87,0.36102292,0,17,15
87,0.361003,0,18,14
87,0.36098272,0,19,13
87,0.3609624,0,20,12
87,0.36094457,0,21,11
87,0.36093217,0,22,10
87,0.36092526,0,23,9
87,0.36092475,0,24,8
87,0.36092907,0,25,7
87,0.3609373,0,26,6
87,0.36094862,0,27,5
87,0.36096323,0,28,4
87,0.36097986,0,29,3
87,0.36099792,0,30,2
87,0.3610134,0,31,1
88,0.36109704,1,1,6
88,0.36110532,1,2,5
88,0.36111885,0,3,4
88,0.3611341,0,4,3
88,0.361149,0,5,2
88,0.36115885,0,6,1
89,0.3610975,1,1,21
89,0.36110926,1,2,20
89,0.36112785,1,3,19
89,0.36114916,1,4,18
89,0.3611696,1,5,17
89,0.36118668,1,6,16
89,0.36119822,1,7,15
89,0.361203,1,8,14
89,0.36120167,1,9,13
89,0.36119562,0,10,12
89,0.36118335,0,11,11
89,0.36116886,0,12,10
89,0.3611533,0,13,9
89,0.3611377,0,14,8
89,0.3611209,0,15,7
89,0.36110368,0,16,6
89,0.3610822,0,17,5
89,0.3610565,0,18,4
89,0.36102617,0,19,3
89,0.36099467,0,20,2
89,0.3609643,0,21,1
96,0.36109814,1,1,5
96,0.361111,1,2,4
96,0.36113155,0,3,3
96,0.36115718,0,4,2
96,0.361184,0,5,1
97,0.36109638,1,1,10
97,0.3611042,1,2,9
97,0.36111662,1,3,8
97,0.36113268,1,4,7
97,0.36114892,1,5,6
97,0.3611628,1,6,5
97,0.3611734,1,7,4
97,0.36117733,1,8,3
97,0.36117575,0,9,2
97,0.36116648,0,10,1
101,0.3610968,1,1,25
101,0.36110455,1,2,24
101,0.36111662,1,3,23
101,0.3611306,1,4,22
101,0.36114532,1,5,21
101,0.36115915,1,6,20
101,0.3611701,1,7,19
101,0.36117738,1,8,18
101,0.36118,1,9,17
101,0.3611781,1,10,16
101,0.3611734,1,11,15
101,0.361165,1,12,14
101,0.3611534,1,13,13
101,0.3611401,1,14,12
101,0.3611241,1,15,11
101,0.36110598,1,16,10
101,0.3610861,1,17,9
101,0.3610639,1,18,8
101,0.36104128,0,19,7
101,0.36101866,0,20,6
101,0.36099702,0,21,5
101,0.36097664,0,22,4
101,0.36095792,0,23,3
101,0.3609419,0,24,2
101,0.36092842,0,25,1
102,0.36109716,0,1,21
102,0.36110815,0,2,20
102,0.36112443,0,3,19
102,0.36114407,0,4,18
102,0.36116242,0,5,17
102,0.3611762,0,6,16
102,0.3611848,0,7,15
102,0.36118758,0,8,14
102,0.36118612,0,9,13
102,0.3611803,0,10,12
102,0.3611725,0,11,11
102,0.36116588,0,12,10
102,0.3611611,0,13,9
102,0.36115724,0,14,8
102,0.36115304,0,15,7
102,0.36114812,0,16,6
102,0.36114022,0,17,5
102,0.36113238,0,18,4
102,0.3611212,0,19,3
102,0.36111033,0,20,2
102,0.3610977,0,21,1
103,0.36109814,1,1,9
103,0.36111155,1,2,8
103,0.36113128,1,3,7
103,0.3611561,1,4,6
103,0.3611825,0,5,5
103,0.36120486,0,6,4
103,0.36122385,0,7,3
103,0.36123675,0,8,2
103,0.36124125,0,9,1
104,0.3610937,1,1,13
104,0.36109656,1,2,12
104,0.36110374,1,3,11
104,0.3611132,1,4,10
104,0.36112213,1,5,9
104,0.36113074,1,6,8
104,0.3611372,0,7,7
104,0.36114067,0,8,6
104,0.36114073,0,9,5
104,0.36113688,0,10,4
104,0.36113247,0,11,3
104,0.361129,0,12,2
104,0.3611248,0,13,1
105,0.3610962,0,1,6
105,0.3611029,0,2,5
105,0.36111355,0,3,4
105,0.3611279,0,4,3
105,0.36114168,0,5,2
105,0.36115378,0,6,1
109,0.36109665,1,1,8
109,0.3611088,1,2,7
109,0.36112583,1,3,6
109,0.36114487,1,4,5
109,0.36116225,1,5,4
109,0.36117348,1,6,3
109,0.36117756,0,7,2
109,0.36117226,0,8,1
111,0.36109704,0,1,9
111,0.36110786,0,2,8
111,0.36112475,0,3,7
111,0.3611472,0,4,6
111,0.36117095,0,5,5
111,0.36119395,0,6,4
111,0.36121202,0,7,3
111,0.3612247,0,8,2
111,0.36123237,0,9,1
115,0.3610974,0,1,12
115,0.36110833,0,2,11
115,0.36112642,0,3,10
115,0.36114973,0,4,9
115,0.36117813,0,5,8
115,0.361205,0,6,7
115,0.36122835,0,7,6
115,0.36124456,0,8,5
115,0.36125502,0,9,4
115,0.3612576,0,10,3
115,0.3612545,0,11,2
115,0.36124623,0,12,1
118,0.3610956,1,1,115
118,0.3611029,1,2,114
118,0.36111376,1,3,113
118,0.36112514,1,4,112
118,0.3611334,1,5,111
118,0.3611382,1,6,110
118,0.36113864,1,7,109
118,0.36113414,1,8,108
118,0.3611266,1,9,107
118,0.36111853,1,10,106
118,0.36111152,1,11,105
118,0.36110532,1,12,104
118,0.36109743,1,13,103
118,0.3610891,1,14,102
118,0.3610825,1,15,101
118,0.36108,1,16,100
118,0.36108273,1,17,99
118,0.3610889,1,18,98
118,0.3610989,1,19,97
118,0.36111528,1,20,96
118,0.36113802,1,21,95
118,0.3611582,1,22,94
118,0.36116934,1,23,93
118,0.3611619,1,24,92
118,0.3611312,1,25,91
118,0.3610788,1,26,90
118,0.3610142,1,27,89
118,0.36094707,1,28,88
118,0.3608875,1,29,87
118,0.36084348,1,30,86
118,0.36081454,1,31,85
118,0.36080593,1,32,84
118,0.3608151,1,33,83
118,0.36084086,1,34,82
118,0.3608811,1,35,81
118,0.36091995,1,36,80
118,0.3609524,1,37,79
118,0.36098206,1,38,78
118,0.36100507,1,39,77
118,0.36102304,1,40,76
118,0.36105937,1,41,75
118,0.3611418,1,42,74
118,0.36130005,1,43,73
118,0.36154777,1,44,72
118,0.36184135,1,45,71
118,0.36212993,1,46,70
118,0.36237478,1,47,69
118,0.3625676,1,48,68
118,0.36271155,1,49,67
118,0.3628173,1,50,66
118,0.36289215,1,51,65
118,0.36294118,1,52,64
118,0.36297527,1,53,63
118,0.36299384,1,54,62
118,0.3630005,1,55,61
118,0.3630007,1,56,60
118,0.36299658,1,57,59
118,0.36300525,1,58,58
118,0.3630421,1,59,57
118,0.3631165,1,60,56
118,0.363246,1,61,55
118,0.36338627,1,62,54
118,0.36353606,1,63,53
118,0.36386737,1,64,52
118,0.3645098,1,65,51
118,0.36561462,1,66,50
118,0.36763865,1,67,49
118,0.37097746,1,68,48
118,0.37933397,1,69,47
118,0.4077928,1,70,46
118,0.43774867,1,71,45
118,0.4308205,1,72,44
118,0.5925194,1,73,43
118,0.6155134,1,74,42
118,0.6086357,1,75,41
118,0.62070847,1,76,40
118,0.40818557,1,77,39
118,0.5300092,1,78,38
118,0.5449704,1,79,37
118,0.5450814,1,80,36
118,0.543777,1,81,35
118,0.5391907,1,82,34
118,0.52599347,1,83,33
118,0.5096175,1,84,32
118,0.49957496,1,85,31
118,0.49526745,1,86,30
118,0.49425635,1,87,29
118,0.4922491,1,88,28
118,0.48891807,1,89,27
118,0.4931383,1,90,26
118,0.49389344,1,91,25
118,0.49249703,1,92,24
118,0.49424893,1,93,23
118,0.49464503,1,94,22
118,0.48425975,1,95,21
118,0.41352844,1,96,20
118,0.43377745,1,97,19
118,0.482689,1,98,18
118,0.48619032,1,99,17
118,0.4479196,1,100,16
118,0.43327522,1,101,15
118,0.43949908,1,102,14
118,0.48294324,1,103,13
118,0.5521902,1,104,12
118,0.6040126,1,105,11
118,0.61166567,1,106,10
118,0.60325426,1,107,9
118,0.5995915,1,108,8
118,0.59791327,1,109,7
118,0.59579396,1,110,6
118,0.59226376,1,111,5
118,0.5912617,1,112,4
118,0.59053814,1,113,3
118,0.5944052,0,114,2
118,0.6049596,0,115,1
124,0.3610967,1,1,11
124,0.36110502,1,2,10
124,0.36111778,1,3,9
124,0.36113447,1,4,8
124,0.36115187,1,5,7
124,0.36116844,1,6,6
124,0.36118355,1,7,5
124,0.36119404,1,8,4
124,0.36120272,1,9,3
124,0.36120766,0,10,2
124,0.36120862,0,11,1
125,0.36109644,0,1,7
125,0.36110437,0,2,6
125,0.36111742,0,3,5
125,0.36113274,0,4,4
125,0.3611489,0,5,3
125,0.36116508,0,6,2
125,0.36117795,0,7,1
127,0.3610972,1,1,29
127,0.36110696,1,2,28
127,0.36112273,1,3,27
127,0.36114198,1,4,26
127,0.36116278,1,5,25
127,0.36118272,1,6,24
127,0.36120218,1,7,23
127,0.36121827,1,8,22
127,0.3612281,1,9,21
127,0.36123377,1,10,20
127,0.3612348,1,11,19
127,0.36123145,1,12,18
127,0.36122492,1,13,17
127,0.36121598,1,14,16
127,0.36120537,0,15,15
127,0.3611936,0,16,14
127,0.36118227,0,17,13
127,0.36116785,0,18,12
127,0.3611505,0,19,11
127,0.3611319,0,20,10
127,0.3611126,0,21,9
127,0.3610953,0,22,8
127,0.36107758,0,23,7
127,0.36106145,0,24,6
127,0.361045,0,25,5
127,0.36102998,0,26,4
127,0.36101565,0,27,3
127,0.36100078,0,28,2
127,0.3609841,0,29,1
130,0.3610963,1,1,6
130,0.36110416,1,2,5
130,0.3611169,1,3,4
130,0.361134,1,4,3
130,0.36115146,0,5,2
130,0.36116582,0,6,1
131,0.36109653,1,1,19
131,0.3611051,1,2,18
131,0.36111638,1,3,17
131,0.3611291,1,4,16
131,0.36114204,1,5,15
131,0.36115676,1,6,14
131,0.36117092,1,7,13
131,0.36118323,1,8,12
131,0.3611915,1,9,11
131,0.36119813,1,10,10
131,0.3612026,0,11,9
131,0.36120436,0,12,8
131,0.3612035,0,13,7
131,0.36119932,0,14,6
131,0.36119395,0,15,5
131,0.36118573,0,16,4
131,0.3611771,0,17,3
131,0.3611681,0,18,2
131,0.36115867,0,19,1
132,0.36109692,0,1,5
132,0.36110866,0,2,4
132,0.3611252,0,3,3
132,0.36114275,0,4,2
132,0.3611583,0,5,1
133,0.36109617,1,1,122
133,0.36110377,1,2,121
133,0.36111552,1,3,120
133,0.36112675,1,4,119
133,0.36113343,1,5,118
133,0.36113307,1,6,117
133,0.3611257,1,7,116
133,0.3611074,1,8,115
133,0.36108255,1,9,114
133,0.3610521,1,10,113
133,0.36101797,1,11,112
133,0.36098295,1,12,111
133,0.36094838,1,13,110
133,0.3609169,1,14,109
133,0.36088842,1,15,108
133,0.360869,1,16,107
133,0.36086303,1,17,106
133,0.36087084,1,18,105
133,0.3608938,1,19,104
133,0.360927,1,20,103
133,0.36095977,1,21,102
133,0.36098528,1,22,101
133,0.360996,1,23,100
133,0.36099416,1,24,99
133,0.3609816,1,25,98
133,0.36096227,1,26,97
133,0.36093915,1,27,96
133,0.36091515,1,28,95
133,0.3608908,1,29,94
133,0.3608671,1,30,93
133,0.36085033,1,31,92
133,0.36083665,1,32,91
133,0.3608274,1,33,90
133,0.36082733,1,34,89
133,0.3608353,1,35,88
133,0.3608489,1,36,87
133,0.36086833,1,37,86
133,0.3608926,1,38,85
133,0.36092162,1,39,84
133,0.36094958,1,40,83
133,0.36097765,1,41,82
133,0.36100417,1,42,81
133,0.36103088,1,43,80
133,0.36105478,1,44,79
133,0.3610712,1,45,78
133,0.36107707,1,46,77
133,0.36107355,1,47,76
133,0.3610586,1,48,75
133,0.36103863,1,49,74
133,0.36101365,1,50,73
133,0.36098486,1,51,72
133,0.36095122,1,52,71
133,0.36092067,1,53,70
133,0.3608903,1,54,69
133,0.36086226,1,55,68
133,0.36083633,1,56,67
133,0.36081207,1,57,66
133,0.3607911,1,58,65
133,0.3607749,1,59,64
133,0.36075944,1,60,63
133,0.3607489,1,61,62
133,0.36074185,1,62,61
133,0.36073762,1,63,60
133,0.36073488,1,64,59
133,0.36073303,1,65,58
133,0.3607342,1,66,57
133,0.36074364,1,67,56
133,0.36076605,1,68,55
133,0.36080387,1,69,54
133,0.36090404,1,70,53
133,0.36123374,1,71,52
133,0.36179292,1,72,51
133,0.33890796,1,73,50
